NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,latitude,longitude
1,서울특별시 노원구 하계동,271-3,0271,0003,건영,53.1400,202507,15,"50,000",-,5,개인,개인,1988,섬밭로 229,-,중개거래,서울 노원구,-,37.636219,127.0639372
2,서울특별시 강남구 개포동,176-2,0176,0002,대치푸르지오발라드,41.3882,202507,15,"108,018",-,8,개인,법인,2024,개포로 407,-,직거래,-,-,37.4872436,127.0606739
3,서울특별시 은평구 녹번동,282,0282,0000,힐스테이트녹번,84.8980,202507,14,"126,000",-,19,개인,개인,2019,통일로 610,-,중개거래,서울 은평구,-,37.6019869,126.9363535
4,서울특별시 관악구 봉천동,1718,1718,0000,벽산블루밍,114.9700,202507,14,"109,000",-,5,개인,개인,2005,은천로 93,-,중개거래,서울 관악구,-,37.4895169,126.9450489
5,서울특별시 양천구 신정동,312,0312,0000,목동신시가지9,53.8200,202507,14,"188,500",-,4,개인,개인,1987,목동서로 340,-,중개거래,서울 양천구,-,37.5197024,126.8640477
6,서울특별시 은평구 응암동,88-8,0088,0008,응암아네스트,13.6793,202507,14,"10,500",-,11,개인,개인,2014,은평로 123,-,중개거래,서울 은평구,-,37.6005491,126.9215428
7,서울특별시 은평구 응암동,739,0739,0000,응암동금호,59.8200,202507,14,"61,500",-,15,개인,개인,1998,응암로 318,-,중개거래,서울 은평구,-,37.5993592,126.9223263
8,서울특별시 구로구 구로동,1285,1285,0000,대림역경남아너스빌,84.8382,202507,14,"70,000",-,10,개인,개인,2009,구로중앙로8길 41-23,-,중개거래,서울 구로구,-,37.4933718,126.8929531
9,서울특별시 노원구 월계동,924,0924,0000,초안2,39.6000,202507,14,"29,500",-,5,개인,개인,1997,우이천로 102,-,중개거래,"서울 강북구, 서울 도봉구",-,37.6315737,127.0426624
10,서울특별시 동대문구 장안동,569,0569,0000,현대홈타운2차,84.9700,202507,14,"82,000",-,9,개인,개인,2005,장한로26다길 84,-,중개거래,서울 동대문구,-,37.5687024,127.0717084
11,서울특별시 강동구 성내동,25-1,0025,0001,이안강동,84.9800,202507,14,"84,800",-,5,개인,개인,2006,천호대로162길 34,-,중개거래,서울 강동구,-,37.5355771,127.1279523
12,서울특별시 양천구 목동,901,0901,0000,목동신시가지1,65.3400,202507,14,"245,000",-,1,개인,개인,1985,목동서로 38,-,중개거래,서울 양천구,-,37.5392044,126.8805609
13,서울특별시 동대문구 용두동,779,0779,0000,신동아,58.5900,202507,14,"65,000",-,6,개인,개인,1994,무학로26길 30,-,중개거래,서울 동대문구,-,37.5729396,127.032591
14,서울특별시 관악구 신림동,1694,1694,0000,신림현대,34.8600,202507,14,"43,300",-,13,개인,개인,1993,신림로29길 8,-,중개거래,"경기 용인시 수지구, 서울 관악구",-,37.4754742,126.9321206
15,서울특별시 성북구 돈암동,644,0644,0000,돈암코오롱하늘채,84.8690,202507,14,"110,000",-,12,개인,개인,2016,아리랑로 75,-,중개거래,서울 성북구,-,37.5989784,127.0132976
16,서울특별시 양천구 신정동,311,0311,0000,목동신시가지10,105.5800,202507,14,"263,000",-,8,개인,개인,1987,목동서로 400,-,중개거래,서울 양천구,-,37.5177155,126.8588626
17,서울특별시 양천구 신정동,311,0311,0000,목동신시가지10,106.0600,202507,14,"260,000",-,3,개인,개인,1987,목동서로 400,-,중개거래,서울 양천구,-,37.5177155,126.8588626
18,서울특별시 양천구 신정동,325,0325,0000,목동신시가지11,51.4800,202507,14,"170,000",-,12,개인,개인,1988,목동동로 10,-,중개거래,서울 양천구,-,37.5120511,126.8583694
19,서울특별시 양천구 신정동,326,0326,0000,목동신시가지12,53.4600,202507,14,"179,000",-,12,개인,개인,1988,목동동로 50,-,중개거래,서울 양천구,-,37.5132243,126.8613625
20,서울특별시 마포구 아현동,804,0804,0000,더클래시,59.9700,202507,13,"200,000",-,2,개인,개인,2022,신촌로28길 50,-,중개거래,"서울 마포구, 인천 서구",-,37.5557061,126.9504721
21,서울특별시 구로구 구로동,796-72,0796,0072,한마음(796-72),43.0500,202507,13,"19,500",-,4,개인,개인,1997,도림로6길 39-15,-,중개거래,서울 구로구,-,37.4852866,126.8886803
22,서울특별시 성북구 돈암동,609-1,0609,0001,한진(609-1),59.5800,202507,13,"61,000",-,20,개인,개인,1998,성북로4길 52,-,중개거래,서울 성북구,-,37.5958787,127.0104755
23,서울특별시 성동구 성수동2가,609-2,0609,0002,강변임광,84.6900,202507,13,"300,000",-,16,개인,개인,2000,둘레19길 5,-,중개거래,서울 성동구,-,37.535348,127.0572025
24,서울특별시 은평구 응암동,577-7,0577,0007,아르지움주상복합,49.7600,202507,13,"58,900",-,15,개인,개인,2024,응암로 217,-,직거래,-,-,37.5914944,126.9171333
25,서울특별시 양천구 신정동,337,0337,0000,목동우성2,84.9600,202507,13,"97,800",-,10,개인,개인,2000,목동남로4길 6-23,-,중개거래,"경기 김포시, 서울 양천구",-,37.507442,126.8655747
26,서울특별시 동대문구 장안동,346-1,0346,0001,태솔아파트3차,59.5700,202507,13,"52,700",-,14,개인,개인,2018,장한로26가길 53,-,중개거래,"경기 김포시, 서울 동대문구",-,37.5692814,127.0709783
27,서울특별시 영등포구 도림동,821,0821,0000,영등포아트자이,84.7810,202507,12,"130,000",-,5,개인,개인,2014,도영로 66,-,중개거래,서울 영등포구,-,37.5108017,126.8998823
28,서울특별시 서대문구 홍제동,453,0453,0000,청구1차,84.7800,202507,12,"90,000",-,11,개인,개인,1994,통일로 348,-,중개거래,서울 서대문구,-,37.5820538,126.9520735
29,서울특별시 중랑구 신내동,785,0785,0000,건영2차,74.2500,202507,12,"66,500",-,14,개인,개인,1996,신내로7길 20,20250712,중개거래,서울 중랑구,-,37.6013912,127.0960991
30,서울특별시 중랑구 신내동,785,0785,0000,건영2차,74.2500,202507,12,"66,500",-,14,개인,개인,1996,신내로7길 20,-,중개거래,서울 중랑구,-,37.6013912,127.0960991
31,서울특별시 중랑구 신내동,661,0661,0000,신내11대명,39.7600,202507,12,"37,000",-,4,개인,개인,1996,봉화산로 193,-,중개거래,서울 중랑구,-,37.6073321,127.0942124
32,서울특별시 성북구 정릉동,1015,1015,0000,길음뉴타운경남아너스빌,50.4500,202507,12,"56,000",-,13,개인,개인,1999,정릉로 305,-,중개거래,서울 성북구,-,37.6048313,127.017434
33,서울특별시 강동구 성내동,295,0295,0000,성안마을청구,59.9300,202507,12,"83,900",-,3,개인,개인,2002,풍성로 114-1,-,중개거래,서울 강동구,-,37.5319456,127.12443
34,서울특별시 동작구 상도동,531,0531,0000,힐스테이트 상도 센트럴파크,84.6099,202507,12,"165,500",-,9,개인,개인,2012,상도로 346-1,-,중개거래,서울 동작구,-,37.4958315,126.9511563
35,서울특별시 노원구 월계동,949,0949,0000,꿈의숲SKVIEW,84.9300,202507,12,"89,000",-,6,개인,개인,2016,월계로42길 97,-,중개거래,"서울 노원구, 서울 성북구",-,37.622023,127.0535966
36,서울특별시 강동구 길동,388-2,0388,0002,에스아이팰리스강동센텀I,34.7710,202507,12,"42,463",-,9,개인,법인,2023,천중로42길 77,-,직거래,-,-,37.5376443,127.1386002
37,서울특별시 노원구 월계동,775,0775,0000,대우,134.6400,202507,12,"72,500",-,12,개인,개인,1998,초안산로5길 22,-,중개거래,서울 성북구,-,37.6329404,127.0512125
38,서울특별시 양천구 목동,901,0901,0000,목동신시가지1,65.3400,202507,12,"228,000",-,2,개인,개인,1985,목동서로 38,-,중개거래,서울 양천구,-,37.5392044,126.8805609
39,서울특별시 구로구 개봉동,481,0481,0000,현대,84.9900,202507,12,"82,200",-,7,개인,개인,2001,개봉로20길 6,-,중개거래,서울 구로구,-,37.4924268,126.8583211
40,서울특별시 관악구 신림동,1736,1736,0000,신림2차푸르지오,59.9850,202507,12,"62,000",-,3,개인,개인,2007,난곡로 66,-,중개거래,서울 관악구,-,37.4611964,126.9201227
